company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP
"Cargill, Inc.      ",,(formerly Continental Grain),,,,2400 E. 37th Street,,,,,,GP7,Jan-51,,1500
Standridge Color Corp,,,,Lufkin,,1507 Webber St.,  (770) 464-3362,,,,,GE 80ton,,2020,
Ashgrove Texas LP.,(subs.  Cement)  ,(formerly North Texas Cement Co.),(cement plant),Midlothian,,"900 Gifco Rd.     (P.O. Box 520, 76065)     ", [(214) 723-2301],,,,10082,GE 70ton,Apr-53,,
Ashgrove Texas LP.,(subs.  Cement)  ,(formerly North Texas Cement Co.),(cement plant),Midlothian,,"900 Gifco Rd.     (P.O. Box 520, 76065)     ", [(214) 723-2301],,,,,LEAF genset locomotive Ex Big West Oil #7016,,2014,
Gerdau Ameristeel,,(foermly TXI Chaparral Steel ),(steel Mill)   ,,,"300 Ward Rd.,76065     ", [(214) 775-8241],,,,,NRE 2GS14B,,,
Gerdau Ameristeel,,(foermly TXI Chaparral Steel ),(steel Mill)   ,,,"300 Ward Rd.,76065     ", [(214) 775-8241],,,,,NRE 2GS14B,,,
Gerdau Ameristeel,,(foermly TXI Chaparral Steel ),(steel Mill)   ,,,"300 Ward Rd.,76065     ", [(214) 775-8241],,,,,NRE 2GS14B,,,
"Texana Tank Car  & Manufacturing, Inc.  ",,,(tank car repair),Nash,,"Hwy 82 W.      (P. O. Box 550, 75569)       ", [(903) 838-5564],,,,69385,S1,Dec-40,,
Phillips 66 - Beaumont Terminal,,,,Nederland,,"128 Magnolia Ave., 77627",,,,,,Plymouth 65ton CR-8,May-75,,
Nucor Steel â€“ Texas,,,,Newby  (Jewett),,"8812 Hwy 79 S., 75846       ", [(903) 626-4461],,,,30307,SW1200,May-65,1994,1200
Nucor Steel â€“ Texas,,,,Newby  (Jewett),,"8812 Hwy 79 S., 75846       ", [(903) 626-4461],,,,24163,SW1200,Apr-58,,1200
Nucor Steel â€“ Texas,,,,Newby  (Jewett),,"8812 Hwy 79 S., 75846       ", [(903) 626-4461],DJRX 65,DJRX,65,,GE,,,
Nucor Steel â€“ Texas,,,,Newby  (Jewett),,"8812 Hwy 79 S., 75846       ", [(903) 626-4461],SSRX 1502,SSRX,1502,,SW1500,Aug-71,2023,1500
Dow Chemical USA  -  Sabine River Operations,,,,,,"2735 FM 1006, 77630                      ",  [(409) 886-6442],ECRX 2001,ECRX,2001,32960,"GP40d / ""GP38-3""",Feb-67,2023,
Enbridge Energy ,,,,Pampa  (Kingmill),,(Pampa Energy Center)  (~4 mi. S/W of Pampa),,TXNW 116,TXNW,116,19624,GP9,Jun-54,,1750
"Agrifos, LLC      ",,, (diammonium phosphate),,,2001 Jackson Rd.                       ,  [(713) 920-5300],ISC / WAMX 925,WAMX,/ WAMX 925,14513,SW1200,Jul-51,,1200
Albermarle Corp.    ,,(formerly Ethyl Corp.),(chemicals)        ,,,"1000 N. South St., 77503    ",  [(713) 740-1000],,,,18002,GE 65ton,Sep-43,,
Albermarle Corp.    ,,(formerly Ethyl Corp.),(chemicals)        ,,,"1000 N. South St., 77503    ",  [(713) 740-1000],,,,,SW1,-40,,600
Chevron Phillips Chemical Company LP â€“ Houston Chemical Complex     ,,(formerly Phillips Chemical),,,,"1400 Jefferon R, 77507           (head office:  (713) 475-3666 )",  (713) 475-3666    ,PSPX 149,PSPX,149,36137,SW1500,Mar-70,,1500
Chevron Phillips Chemical Company LP â€“ Houston Chemical Complex     ,,(formerly Phillips Chemical),,,,"1400 Jefferon R, 77507           (head office:  (713) 475-3666 )",  (713) 475-3666    ,GATX 150,GATX,150,,SW1500,Nov-72,,1500
Chevron Phillips Chemical Company LP â€“ Houston Chemical Complex     ,,(formerly Phillips Chemical),,,,"1400 Jefferon R, 77507           (head office:  (713) 475-3666 )",  (713) 475-3666    ,GMTX 2181,GMTX,2181,,GP38-2,Aug-72,,2000
Frontier Logistics,,,,,,,,FMRX 9622,FMRX,9622,,Trans from Frontier Logistics,,,
Texas Petrochemicals Corp.,,,,,,"    [8600 Park Place Blvd., 77017 ?]",,OSS 34,OSS,34,23550,GP9,Jun-57,,1750
Texas Petrochemicals Corp.,,,,,,"    [8600 Park Place Blvd., 77017 ?]",,WAMX 7027,WAMX,7027,17017,GP7,-53,2002,1500
Gavilon,,(formerly DeBruce Grain ),,Plainview,,"   (~3 m. N. of...)  (on CR 55, off Interstate 27 Service Rd.)", [(806) 293-2621],,,,15612,SD7,Apr-52,2003,1500
"Harvest Queen Milling Div., ADM",,,,,,1208 Columbia St.     , [(806) 293-1331],,,,,Plymouth 35ton ML8 / 3,Aug-36,,
Lattimore Materials ,(subs Lafarge Holcim),,,Plano,,"1200 N Ave, 75074                        ", (972) 423-8359,,,,23467,GP9,-57,,1750
Chevron Lubricants,,,,,,"W 7th St., 77640  ",(409) 985-3000,RSSX 904,RSSX,904,31224,SW1200,Apr-66,,1200
Kinder Morgan Bulk Terminal    ,,,,,,Coke Dock Rd.   (inside port area),,,,,,CF7,,,1500
Motiva Enterprises LLC  ,(j/v Shell & Aramco)   ,(formerly Texaco),,,,,,,,,19706,SW600,Jun-54,,600
Motiva Enterprises LLC  ,(j/v Shell & Aramco)   ,(formerly Texaco),,,,,,,,,,SW1001,Dec-75,,1000
USA Rail Termianls,,,(SIT yard),,,,,SILX 1419,SILX,1419,75629,MP15AC,,2020,1500
USA Rail Termianls,,,(SIT yard),,,,,SILX 1456,SILX,1456,,MP15AC,,2020,1500
Valero Energy,,(formerly Premcor ),,,,"W. 7th St., 77642      ", [(409) 983-6638],,,,20665,SW600,Apr-55,,600
Valero Energy,,(formerly Premcor ),,,,"W. 7th St., 77642      ", [(409) 983-6638],,,,,MP15,Sep-79,,
Valero Energy,,(formerly Premcor ),,,,"W. 7th St., 77642      ", [(409) 983-6638],ECRX #1212,,#1212,16418,SW9m,May-52,,
Ineos Nitriles,,,,Port Lavaca / Seadrift,,"13050 SR 185, Port Lavaca, 77979",  (316) 552-7543,,,,73678,MP15,Sep-74,,
Lattimore Materials  -  Royse City ,(subs Lafarge Holcim),,,Royse City,,E County Line Rd.,,,,,,SW1500,Dec-71,2001,1500
Ardent Mills,,(formerly Horizon Milling),flour mill,Saginaw,,"401 E. Industrial Ave.        (P.O. Box 79370, 76179)      ",  [(817) 847-3400),LRSX 114,LRSX,114,20401,SW900,-55,,900
"Attebury Grain, Inc",,(formerly Farmland / ADM),merchant grain elevator,,,"624 Burlington Rd.  (P.O. Box 79440, 76179)               ", [(817) 232-5105],,,,22930,GP9,-57,2005,1750
"Attebury Grain, Inc",,(formerly Farmland / ADM),merchant grain elevator,,,"624 Burlington Rd.  (P.O. Box 79440, 76179)               ", [(817) 232-5105],MJRX 849,MJRX,849,42234,B30-7,Mar-79,2012,3000
Trinity Ind. - Plant #192      ,,(formerly Ft Worth Recar),,,,"500 E. Bailey Boswell Rd., 76179     ", [(817) 232-3650],,,,18109,SW1,May-53,,600
Trinityrail - Plant #25        ,,(formerly Tank Lining & Railcar Repair),,,,"2850 Peden Rd., 76179                                  ",  [ (817) 236-7141],,,,15290,GE 45ton,Jun-42,,
Trinityrail - Plant #25        ,,(formerly Tank Lining & Railcar Repair),,,,"2850 Peden Rd., 76179                                  ",  [ (817) 236-7141],,,,17868,GE 65ton,Jun-43,,
Trinityrail - Plant #25        ,,(formerly Tank Lining & Railcar Repair),,,,"2850 Peden Rd., 76179                                  ",  [ (817) 236-7141],,,,33845,GE 65,Jun-60,,
"GBW Railcar Service, LLC",,(formerly Rail Car Texas),,,,"497 S Tayman St., 78226",(210) 921-1900,,,,34375,GE 35ton,Jun-62,1997,
"GBW Railcar Service, LLC",,(formerly Rail Car Texas),,,,"497 S Tayman St., 78226",(210) 921-1900,,,,,GE 45ton,,,
Trans Tex  Rails    ,,,(locomotive &  car rebuilding),,,"203 Milam St., 78202   ",  [(210) 224-9080],,,,,GE 65ton,,,
Trans Tex  Rails    ,,,(locomotive &  car rebuilding),,,"203 Milam St., 78202   ",  [(210) 224-9080],,,,,SW1,Jun-40,,600
Watco Mechanical Services,,(formerly GBW Railcar Services),(railcar repair),Scottsville / Marshall,,"FM 2199 Verhalen Industrial Rd.   (4 m. E of Marsahll)   (P.O. Box 428, 75688)      ",  [(903) 935-7847],,,,,SW1,-41,,600
Watco Mechanical Services,,(formerly GBW Railcar Services),(railcar repair),Scottsville / Marshall,,"FM 2199 Verhalen Industrial Rd.   (4 m. E of Marsahll)   (P.O. Box 428, 75688)      ",  [(903) 935-7847],,,,19355,GP9,-54,2021,1750
Dow  -  Seadrift Operations           ,,(formerly Union Carbide),,Seadrift     (North Seadrift  siding),,"Highway 185 North, 77983          (6 mi. N of Seadrift)                          ",  [(361) 553-2000],GMTX 90,GMTX,90,73623,SW1001,,2017,1000
Dow  -  Seadrift Operations           ,,(formerly Union Carbide),,Seadrift     (North Seadrift  siding),,"Highway 185 North, 77983          (6 mi. N of Seadrift)                          ",  [(361) 553-2000],GMTX / SGS Petroleum Service 148,Service,/ SGS Petroleum Service 148,,SW1500,,,1500
Dow  -  Seadrift Operations           ,,(formerly Union Carbide),,Seadrift     (North Seadrift  siding),,"Highway 185 North, 77983          (6 mi. N of Seadrift)                          ",  [(361) 553-2000],,,,35229,,-69,2021,
UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,,,,Plymouth 25ton JDT,Jun-76,,
UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,,,,Plymouth 25ton JDT,Jun-76,,
UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,,,,Plymouth 40ton MDT,Oct-79,,
UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,,,17827,GE 45ton,Feb-43,,
Ardent Mills ,,(formerly   ConAgra),,Sherman,,"408 E. Magnolia St., 75090     ", [(903) 893-8111],Econrail 7225,Econrail,7225,22871,SW900,Oct-56,,900
Steel Dynamics - Southwest - Sinton Div.,,,rolling mill,Sinton,,"8534 SR 89, 78387",(361) 424-6200,OMNX 1,OMNX,1,31685,SW1200,-66,2020,1200
Steel Dynamics - Southwest - Sinton Div.,,,rolling mill,Sinton,,"8534 SR 89, 78387",(361) 424-6200,OMNX 4,OMNX,4,31219,SW1200,Apr-66,,1200
ADM / Growmark  ,,,,Summerfield / West Hereford,,"3355 CR1, 79085    (P. O. Box 1946, Hereford , Tx. 79045)                ",  [(806) 357-2260],MWLX 137,MWLX,137,20013,GP9,Dec-54,2017,1750
Sweetwater Switching,(subs Cape & Son),,,,,,,,,,27097,GP20,Feb-62,,2000
Sweetwater Switching,(subs Cape & Son),,,,,,,,,,34942,SD40A,Aug-69,,3000
Sweetwater Switching,(subs Cape & Son),,,,,,,,,,,SD40-2,,,3000
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,,,40730,E25-B,Jun-76,,
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,,,40731,E25-B,Oct-76,,
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,,,,E25-B,Dec-76,,
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,,,,E25-B,Feb-79,,
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,ATGX 5515,ATGX,5515,41538,C30-7,Jul-77,2001,3000
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,ATGX 5521,ATGX,5521,41544,C30-7,Jul-77,2001,3000
Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,,,53003,,,,
"Plantation Foods, Inc. / Cargill   ",,,(feed mill),Temple,,251 Berger Rd.,,,,,31289,GE 25ton [,Oct-51,,
Graphic Packaging - Domino Mill,,(formerly International Paper Co.),paperboardmill,Texarkana,,"10146 FM 3129, Queen City,75572    (P.O. Box 870, 75504) (~5 mi. S of ...)",(903) 796-7101,Corman 1366,Corman,1366,16367,GP7,-52,,1500
Oiltanking,,,,,,"2800 Loop 197 S, 77590",(409) 797-1700,ECRX 886,ECRX,886,,NW2,Jun-39,,1000
Oiltanking,,,,,,"2800 Loop 197 S, 77590",(409) 797-1700,ECRX 1504,ECRX,1504,33148,SW1500,Sep-67,,1500
"Sterling Chemicals, Inc.",,,,,,"201 Bay St., 77590              ",    [(409) 945-4431],OSS 145,OSS,145,32180,SW1000,Oct-66,,1000
"Sterling Chemicals, Inc.",,,,,,"201 Bay St., 77590              ",    [(409) 945-4431],OSS 4288,OSS,4288,16879,GP7,-52,,1500
Martindale Feed Mill Div.  - Alan Ritchey Inc.,,,,Valley View,,I-35 Frontage Rd.     , [(817) 726-3203],,,,13963,SW9,Mar-51,,1200
Southwest Railroad Car Parts Co.,,,,Venus,,   Hwy 67 S        , [477-3231],,,,61107,Whitcomb 25ton,Apr-50,,
"Safety Railway Service, L.P.",,(subs. Commercial Metal),,Victoria,,"403 Warehouse Way, 77905   p   (former Aloe Field site)           (P. O. Box 2298, 77901)",,,,,,NW2,Sep-46,,1000
"Safety Railway Service, L.P.",,(subs. Commercial Metal),,Victoria,,"403 Warehouse Way, 77905   p   (former Aloe Field site)           (P. O. Box 2298, 77901)",,,,,22874,SW900.,Dec-58,,
Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],,,,12865,SW9,Apr-53,,1200
Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],,,,,GP9 Ex Acelor Mittal #22,,,
Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],GMTX 184,GMTX,184,71612,SW1500,Jan-73,2018,1500
Hanson Aggregates      ,,(formerly Gifford-Hill & Co.),,Waco,,"New Marlin Rd    (area formerly known as Wardlaw)       (P.O. Box 1369, 76730)      ", [(254) 752-4358],,,,31803,GE 45ton,Jun-53,,
Eagle Railcar Services,,,railcar repair,Wichita Falls,,"4513 Allendale Rd., 76310",(940) 249-9984,,,,27702,GE 45ton,Oct-44,,
Terminal Switching and Services,(subcontractor for UP),,(TOFC yrad),Salt Lake,Ut,"1045 S 5500 W, 84104",,SSRX 116,SSRX,116,24761,GP9,-58,,1750
Terminal Switching and Services,(subcontractor for UP),,(TOFC yrad),Salt Lake,Ut,"1045 S 5500 W, 84104",,SSRX 3780,SSRX,3780,,SD40-2,Oct-80,,3000
Andeavor,,(formerly Tesoro),petroleum refinery,Salt Lake City,,,,GMTX 154,GMTX,154,,MP15,,2017,
Andeavor,,(formerly Tesoro),petroleum refinery,Salt Lake City,,,,GMTX 334,GMTX,334,,MP15,Oct-80,2017,
Energy Solutions,,, (haz-mat disposal site),Clive,Ut.,,,Tangent Rail TR 2,TR,Rail TR 2,,GP39-2,,,2300
Energy Solutions,,, (haz-mat disposal site),Clive,Ut.,,,Tangent Rail TR 3,TR,Rail TR 3,,GP39-2,,,2300
"Envirocare Utah, Inc.  ",,, (haz-mat disposal site),,,"               (head office: 46 W. Broadway, Salt Lake, City, Ut., 84101)",,,,,,NW2,Jan-48,,1000
"Envirocare Utah, Inc.  ",,, (haz-mat disposal site),,,"               (head office: 46 W. Broadway, Salt Lake, City, Ut., 84101)",,,,,28043,GP30,Jan-63,2018,2250
Kennecott Minerals,(subs. Rio Tinto),,,Garfield,,"8362 W. 10200 S., Bingham Canyon, 84006       ", [(801) 569-6000],SSRX 3510,SSRX,3510,35379,GP38,Aug-69,,2000
Circle Four Farms   , (subs. Smithfield Foods)   ,,(feed mill),,,"341 S. Main, 84751",,,,,18836,SW9m,Oct-53,2000,
Twin Mountain Rock  , (subs. Kiewit Co.),,,Murdock  (Milford),,   (~9 mi. N. of Milford)                    ,  [(435) 387-2997],,,,20228,SD9,Jan-55,,1750
Big West Oil Co. LLC - Flying J Refinery          ,"(subs. Flying J Oil & Gas, Inc. )",,,North Salt Lake,,"333 W. Center St., 84054-2805     ", [(801) 298-9394],,,,26932,SW600,Jan-62,1993,600
Big West Oil Co. LLC - Flying J Refinery          ,"(subs. Flying J Oil & Gas, Inc. )",,,North Salt Lake,,"333 W. Center St., 84054-2805     ", [(801) 298-9394],,,,20089,SW1200,Dec-54,2014,1200
Chevron USA,,,,North Salt Lake City,,,,RSSX 436,RSSX,436,18833,GP9,Jun-54,2004,1750
Chevron USA,,,,North Salt Lake City,,,,,,,16962,,Dec-52,,
Chevron USA,,,,North Salt Lake City,,,,RSSX 4471,RSSX,4471,14671,GP7,Aug-51,2013,1500
Nucor Steel  â€“  Utah,,,,Nucoe (siding)  /  Plymouth,,"W. Cemetery Rd., Plymouth, Ut.  84330       ", [(801) 458-3691],,,,,B23-7 Ex #660,,,
Nucor Steel  â€“  Utah,,,,Nucoe (siding)  /  Plymouth,,"W. Cemetery Rd., Plymouth, Ut.  84330       ", [(801) 458-3691],2nd,,,42305,B23-7,Mar-79,2006,2250
Scoular,,,(grain elevator,,,2727 Pennsylvania Ave.,(801) 621-7803,,,,13873,GP7,-51,,1500
Western Metals Recycling LLC - Plymouth Yard,,,,Plymouth,,"7400 West 21200  N., 84330               ", [(435) 458-3851],SSRX 1109,SSRX,1109,27877,SW1200,-63,2015,1200
Intermountain Power Service Corp.,,,,Springville,,850 W. Brush Wellman Rd.     (west of...),,,,,,SW1001,Apr-85,,1000
ECDC Environmental /  East Carbon Development Center,,,,Sunnyside   (East Carbon),,"111 W. Hwy 123, 84520",,,,,21299,SD9,Mar-56,,1750
ECDC Environmental /  East Carbon Development Center,,,,Sunnyside   (East Carbon),,"111 W. Hwy 123, 84520",,,,,19947,SD9,Mar-55,,1750
Peterson Industrial Depot,,"(formerly Utan Industril Depot, previously Tooele Army Depot)",industrial park,Tooele,,1485 W. James Way,(435) 849-8400,,,,61205,RS4TC,,,
Peterson Industrial Depot,,"(formerly Utan Industril Depot, previously Tooele Army Depot)",industrial park,Tooele,,1485 W. James Way,(435) 849-8400,,,,61213,RS4TC,,,
Peterson Industrial Depot,,"(formerly Utan Industril Depot, previously Tooele Army Depot)",industrial park,Tooele,,1485 W. James Way,(435) 849-8400,,,,43140,B36-7,Nov-80,,3600
Port of Richmond,,,,Richmond,,,,BDRV 915,BDRV,915,20961,SW900,Jan-56,,900
Gerdau- Roanoke,,,scrap,Roanoke,,"2580 Broadway Ave., 24014  ", (540) 981-1211,,,,,NW2,Oct-47,,1000
Gerdau- Roanoke,,,scrap,Roanoke,,"2580 Broadway Ave., 24014  ", (540) 981-1211,,,,35830,SW1000,Dec-69,2023,1000
Steel Dynamics,,(formerly Roanoke Electric Steel),steel bar mill,,,,,,,,,SW1,Jul-48,2009,600
Rapoca Energy Co. â€“  #8 Mine  ,,(formerly Wellmore Coal Co.),,Big Rock,,     (on SR 700 at border of Ky.)  ,,,,,,Plymouth 45ton MDT,Jan-79,1983,
Rapoca Energy Co. â€“  #8 Mine  ,,(formerly Wellmore Coal Co.),,Big Rock,,     (on SR 700 at border of Ky.)  ,,,,,89662,S2,-78,,
Dickenson-Russell Coal Co.,,(formerly Clinchfield Coal Co.),,Carbo,,,,,,,24745,SW600,Sep-58,,600
Luck Stone,,,,Cesapeake,,,,,,,23704,GP9,-57,2017,1750
Chesapeake Auto Terminal,,,,Chesapeake,,"1305 Atlantic Ave., 23324                          ",   [(757) 494-9240],,,,13065,SW7,Jan-51,,1200
Chesapeake Auto Terminal,,,,Chesapeake,,"1305 Atlantic Ave., 23324                          ",   [(757) 494-9240],IRLX 1501,IRLX,1501,,SW1500,Dec-72,2000,1500
"Coal Handling Facility, Inc.",,,,Covington,,"   Riverside Ave, Gate 5, 24426              ", [(540) 965-3851],,,,23563,GP9,,1992,1750
Virginia Pocahontas  â€“  Gund #1 Mine,(div. Island Creek Coal Co.),,,Dismal Creek    (Vansant),,     (E. of Vansant),,,,,,S2,,,
Waste Management â€“ Atlantic Waste Disposal,,"(formerly USA Waste, Inc.)",sanitary landfill,Disputanta  / Waverly,,3474 Atlantic Ln  (off CR 602),,DLSX 12,DLSX,12,27507,SW1200,Sep-62,,1200
Waste Management â€“ Atlantic Waste Disposal,,"(formerly USA Waste, Inc.)",sanitary landfill,Disputanta  / Waverly,,3474 Atlantic Ln  (off CR 602),,,,,,NW2,Oct-49,2018,1000
 International Paper     ,,(formerly Union Camp),fluff pulp mill,Franklin,,"34040 Union Camp Dr., 23851   ", [(804) 569-4623],,,,24058,GP9,Jun-58,2016,1750
Virginia Electric Power Co. / Dominion Resources  -  Chesepeake Energy Center,,,,Gilmerton     (Portsmouth),,"1201 Vepco St.     (P.O. Drawer 5, Chester, Va. 23831)     ",,,,,44329,GE 110ton,Dec-82,,
"Keene Carriers, Inc.",,,transload,Glade Springs,,"Old Mill Rd  (CR 750), 24340",(276) 429-2402,,,,29889,GE 25ton,Feb-49,1992,
 AdvanSix,, (formerly Honeywell Corp.),,Hopewell,,"905 E. Randolph Road   (P.O. Box 761, 23860)       ",[(804) 541-5000],RE 1256,RE,1256,13134,SW9,Feb-51,,1200
Tyson Foods - Feed Mill Crewe,,,,Jetersville / Crewe,,1938  Highway 360   (3 M S/E of. Jetersville / 7 mi. N of Crewe) , [(434) 645-7791],,,,10286,GE 45ton,Nov-42,1992,
WestRock,,(formerly  Rock-Tenn Co.),(paperboard)   ,Lynchburg,,"1801 Concord Rd., 24504      ",[(804) 847-5521],,,,,Plymouth 25ton ML6,Jul-38,,
WestRock,,(formerly  Rock-Tenn Co.),(paperboard)   ,Lynchburg,,"1801 Concord Rd., 24504      ",[(804) 847-5521],,,,29019,GE 45ton,Nov-48,1982,
Vulcan Materials -  Manassas Quarry,,,,Manassas,,,,,,,13170,NW2,May-48,,1000
Vulcan Materials -  Manassas Quarry,,,,Manassas,,,,,,,13250,NW2,Jun-48,1990,1000
Vulcan Materials -  Manassas Quarry,,,,Manassas,,,,GMTX 96,GMTX,96,35891,SW1000,,2017,1000
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Sep-85,,
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Oct-85,,
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Apr-86,,
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Apr-86,,
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Aug-88,,
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Aug-88,,
"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,,,,Plymouth 15ton DMS-24,Aug-88,,
Clinchfield Coal Co.  -   McClure River #1 Mine,,,,McClure,,,,,,,89865,S2,Mar-79,,
Pittston Co.  -   McClure River #1 Mine,,(formerly Clinchfield Coal),,,,HC 773,,,,,89865,S2,Mar-79,,
Pittston Co.  -   McClure River #1 Mine,,(formerly Clinchfield Coal),,,,HC 773,,LTEX 1208,LTEX,1208,10411,SW7m,Mar-50,2017,
Celanese AG  -  Celco Plant         ,,(formerly Hoechst-Celanese),,Narrows,,"    (E. of..., on N. side of New River, off US 460)   (P.O. Box 1000, 24124)    ",[(703) 921-1111],,,,18960,SW9,Nov-53,1987,1200
"Dominion Terminal Associates, LLP",,,,Newport News,,600 Harbor Access Road       , [(804)244-2275],,,,72649,SW1500,May-73,,1500
"Dominion Terminal Associates, LLP",,,,Newport News,,600 Harbor Access Road       , [(804)244-2275],,,,72649,SW1500,May-73,,1500
Kinder Morgan  â€“  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],,,,30892,GE 50ton,,1997,
Kinder Morgan  â€“  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],,,,41257,GE 110ton,Oct-82,,
Kinder Morgan  â€“  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],,,,41258,GE 110ton,Oct-82,,
Kinder Morgan  â€“  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],,,,41259,GE 110ton,Nov-82,,
Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],,,,41809,GE 45ton,Sep-62,,
Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],,,,34444,GE 45ton,Sep-62,,
Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],,,,41810,GE 45ton,Aug-63,,
Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],,,,31116,NRE 1GS7B,,2010,
Katoen Natie,,,,Norfolk,,"2424 Springfield Ave., 23523",  (757) 543-9211,GMTX 199,GMTX,199,35852,SW1500,-71,2023,1500
"Purdue Farms, Inc.  â€“  North Elevator            ",,(formerly Cargill),,,,"8801 Hampton Boulevard Norfolk, VA 23514",,,,,15520,SW9,Nov-51,,1200
Gerdau Petersburg,,(foermly TXI Chapparal Steel),(structural steel mill),,,"25801 Hofheimer Way, 23803  (off 672, ~3 mi S/W of...)",(804) 520-0286,,,,18841,SW9m,Oct-53,1999,
Gerdau Petersburg,,(foermly TXI Chapparal Steel),(structural steel mill),,,"25801 Hofheimer Way, 23803  (off 672, ~3 mi S/W of...)",(804) 520-0286,,,,27881,SW1200,-63,1999,1200
