,company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive serial number,locomotive model,Manufactured Date(MM/YY),locomotives
4447,Watco Mechanical Services,,(formerly GBW Railcar Services),(railcar repair),Scottsville / Marshall,,"FM 2199 Verhalen Industrial Rd.   (4 m. E of Marsahll)   (P.O. Box 428, 75688)      ",  [(903) 935-7847],19355,GP9,-54,
4449,Dow  -  Seadrift Operations           ,,(formerly Union Carbide),,Seadrift     (North Seadrift  siding),,"Highway 185 North, 77983          (6 mi. N of Seadrift)                          ",  [(361) 553-2000],73623,SW1001,,
4450,Dow  -  Seadrift Operations           ,,(formerly Union Carbide),,Seadrift     (North Seadrift  siding),,"Highway 185 North, 77983          (6 mi. N of Seadrift)                          ",  [(361) 553-2000],,SW1500,,
4451,Dow  -  Seadrift Operations           ,,(formerly Union Carbide),,Seadrift     (North Seadrift  siding),,"Highway 185 North, 77983          (6 mi. N of Seadrift)                          ",  [(361) 553-2000],35229,,-69,
4457,UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,Plymouth 25ton JDT,6-76,
4458,UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,Plymouth 25ton JDT,6-76,
4459,UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,,Plymouth 40ton MDT,10-79,
4460,UTLX Manufacturing LLC - Fabrication Plant #10,,(formerly Richmond Tank Car Co.),,Sheldon,,"10515 Sheldon Rd, 77044",,17827,GE 45ton,2-43,
4463,Ardent Mills ,,(formerly   ConAgra),,Sherman,,"408 E. Magnolia St., 75090     ", [(903) 893-8111],22871,SW900,10-56,
4464,Steel Dynamics - Southwest - Sinton Div.,,,rolling mill,Sinton,,"8534 SR 89, 78387",(361) 424-6200,31685,SW1200,-66,
4467,Steel Dynamics - Southwest - Sinton Div.,,,rolling mill,Sinton,,"8534 SR 89, 78387",(361) 424-6200,31219,SW1200,4-66,
4471,ADM / Growmark  ,,,,Summerfield / West Hereford,,"3355 CR1, 79085    (P. O. Box 1946, Hereford , Tx. 79045)                ",  [(806) 357-2260],20013,GP9,12-54,
4474,Sweetwater Switching,(subs Cape & Son),,,,,,,27097,GP20,2-62,
4475,Sweetwater Switching,(subs Cape & Son),,,,,,,34942,SD40A,8-69,
4476,Sweetwater Switching,(subs Cape & Son),,,,,,,,SD40-2,,
4477,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,40730,E25-B,6-76,
4478,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,40731,E25-B,10-76,
4479,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,E25-B,12-76,
4480,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,,E25-B,2-79,
4482,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,41538,C30-7,7-77,
4483,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,41544,C30-7,7-77,
4487,Luminant  -  Martin Lake Station,(subs Vistra),(formerly Texas Utilities),,Tatum,,"(power plant at Dirgin, on W. shore of Martin Lake, 4 mi. s/w of Tatum, E. of 2658)",,53003,,,
4492,"Plantation Foods, Inc. / Cargill   ",,,(feed mill),Temple,,251 Berger Rd.,,31289,GE 25ton [,10-51,
4496,Graphic Packaging - Domino Mill,,(formerly International Paper Co.),paperboardmill,Texarkana,,"10146 FM 3129, Queen City,75572    (P.O. Box 870, 75504) (~5 mi. S of ...)",(903) 796-7101,16367,GP7,-52,
4500,Oiltanking,,,,,,"2800 Loop 197 S, 77590",(409) 797-1700,,NW2,6-39,
4501,Oiltanking,,,,,,"2800 Loop 197 S, 77590",(409) 797-1700,33148,SW1500,9-67,
4502,"Sterling Chemicals, Inc.",,,,,,"201 Bay St., 77590              ",    [(409) 945-4431],32180,SW1000,10-66,
4503,"Sterling Chemicals, Inc.",,,,,,"201 Bay St., 77590              ",    [(409) 945-4431],16879,GP7,-52,
4507,Martindale Feed Mill Div.  - Alan Ritchey Inc.,,,,Valley View,,I-35 Frontage Rd.     , [(817) 726-3203],13963,SW9,3-51,
4508,Southwest Railroad Car Parts Co.,,,,Venus,,   Hwy 67 S        , [477-3231],61107,Whitcomb 25ton,4-50,
4511,"Safety Railway Service, L.P.",,(subs. Commercial Metal),,Victoria,,"403 Warehouse Way, 77905   p   (former Aloe Field site)           (P. O. Box 2298, 77901)",,,NW2,9-46,
4512,"Safety Railway Service, L.P.",,(subs. Commercial Metal),,Victoria,,"403 Warehouse Way, 77905   p   (former Aloe Field site)           (P. O. Box 2298, 77901)",,22874,SW900.,12-58,
4516,Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],12865,SW9,4-53,
4518,Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],,GP9 Ex Acelor Mittal #22,,
4519,Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],71612,SW1500,1-73,
4520,Hanson Aggregates      ,,(formerly Gifford-Hill & Co.),,Waco,,"New Marlin Rd    (area formerly known as Wardlaw)       (P.O. Box 1369, 76730)      ", [(254) 752-4358],31803,GE 45ton,6-53,
4523,Eagle Railcar Services,,,railcar repair,Wichita Falls,,"4513 Allendale Rd., 76310",(940) 249-9984,27702,GE 45ton,10-44,
4527,Terminal Switching and Services,(subcontractor for UP),,(TOFC yrad),Salt Lake,Ut,"1045 S 5500 W, 84104",,24761,GP9,-58,
4529,Terminal Switching and Services,(subcontractor for UP),,(TOFC yrad),Salt Lake,Ut,"1045 S 5500 W, 84104",,,SD40-2,10-80,
4530,Andeavor,,(formerly Tesoro),petroleum refinery,Salt Lake City,,,,,MP15,,
4531,Andeavor,,(formerly Tesoro),petroleum refinery,Salt Lake City,,,,,MP15,10-80,
4532,Energy Solutions,,, (haz-mat disposal site),Clive,Ut.,,,,GP39-2,,
4533,Energy Solutions,,, (haz-mat disposal site),Clive,Ut.,,,,GP39-2,,
4534,"Envirocare Utah, Inc.  ",,, (haz-mat disposal site),,,"               (head office: 46 W. Broadway, Salt Lake, City, Ut., 84101)",,,NW2,1-48,
4535,"Envirocare Utah, Inc.  ",,, (haz-mat disposal site),,,"               (head office: 46 W. Broadway, Salt Lake, City, Ut., 84101)",,28043,GP30,1-63,
4538,Kennecott Minerals,(subs. Rio Tinto),,,Garfield,,"8362 W. 10200 S., Bingham Canyon, 84006       ", [(801) 569-6000],35379,GP38,8-69,
4545,Circle Four Farms   , (subs. Smithfield Foods)   ,,(feed mill),,,"341 S. Main, 84751",,18836,SW9m,10-53,
4546,Twin Mountain Rock  , (subs. Kiewit Co.),,,Murdock  (Milford),,   (~9 mi. N. of Milford)                    ,  [(435) 387-2997],20228,SD9,1-55,
4547,Big West Oil Co. LLC - Flying J Refinery          ,"(subs. Flying J Oil & Gas, Inc. )",,,North Salt Lake,,"333 W. Center St., 84054-2805     ", [(801) 298-9394],26932,SW600,1-62,
4548,Big West Oil Co. LLC - Flying J Refinery          ,"(subs. Flying J Oil & Gas, Inc. )",,,North Salt Lake,,"333 W. Center St., 84054-2805     ", [(801) 298-9394],20089,SW1200,12-54,
4549,Chevron USA,,,,North Salt Lake City,,,,18833,GP9,6-54,
4550,Chevron USA,,,,North Salt Lake City,,,,16962,,12-52,
4551,Chevron USA,,,,North Salt Lake City,,,,14671,GP7,8-51,
4553,Nucor Steel  –  Utah,,,,Nucoe (siding)  /  Plymouth,,"W. Cemetery Rd., Plymouth, Ut.  84330       ", [(801) 458-3691],,B23-7 Ex #660,,
4554,Nucor Steel  –  Utah,,,,Nucoe (siding)  /  Plymouth,,"W. Cemetery Rd., Plymouth, Ut.  84330       ", [(801) 458-3691],42305,B23-7,3-79,
4556,Scoular,,,(grain elevator,,,2727 Pennsylvania Ave.,(801) 621-7803,13873,GP7,-51,
4557,Western Metals Recycling LLC - Plymouth Yard,,,,Plymouth,,"7400 West 21200  N., 84330               ", [(435) 458-3851],27877,SW1200,-63,
4562,Intermountain Power Service Corp.,,,,Springville,,850 W. Brush Wellman Rd.     (west of...),,,SW1001,4-85,
4563,ECDC Environmental /  East Carbon Development Center,,,,Sunnyside   (East Carbon),,"111 W. Hwy 123, 84520",,21299,SD9,3-56,
4564,ECDC Environmental /  East Carbon Development Center,,,,Sunnyside   (East Carbon),,"111 W. Hwy 123, 84520",,19947,SD9,3-55,
4565,Peterson Industrial Depot,,"(formerly Utan Industril Depot, previously Tooele Army Depot)",industrial park,Tooele,,1485 W. James Way,(435) 849-8400,61205,RS4TC,,
4566,Peterson Industrial Depot,,"(formerly Utan Industril Depot, previously Tooele Army Depot)",industrial park,Tooele,,1485 W. James Way,(435) 849-8400,61213,RS4TC,,
4567,Peterson Industrial Depot,,"(formerly Utan Industril Depot, previously Tooele Army Depot)",industrial park,Tooele,,1485 W. James Way,(435) 849-8400,43140,B36-7,11-80,
4573,Port of Richmond,,,,Richmond,,,,20961,SW900,1-56,
4574,Gerdau- Roanoke,,,scrap,Roanoke,,"2580 Broadway Ave., 24014  ", (540) 981-1211,,NW2,10-47,
4575,Gerdau- Roanoke,,,scrap,Roanoke,,"2580 Broadway Ave., 24014  ", (540) 981-1211,35830,SW1000,12-69,
4576,Steel Dynamics,,(formerly Roanoke Electric Steel),steel bar mill,,,,,,SW1,7-48,
4579,Rapoca Energy Co. –  #8 Mine  ,,(formerly Wellmore Coal Co.),,Big Rock,,     (on SR 700 at border of Ky.)  ,,,Plymouth 45ton MDT,1-79,
4580,Rapoca Energy Co. –  #8 Mine  ,,(formerly Wellmore Coal Co.),,Big Rock,,     (on SR 700 at border of Ky.)  ,,89662,S2,-78,
4581,Dickenson-Russell Coal Co.,,(formerly Clinchfield Coal Co.),,Carbo,,,,24745,SW600,9-58,
4582,Luck Stone,,,,Cesapeake,,,,23704,GP9,-57,
4584,Chesapeake Auto Terminal,,,,Chesapeake,,"1305 Atlantic Ave., 23324                          ",   [(757) 494-9240],13065,SW7,1-51,
4585,Chesapeake Auto Terminal,,,,Chesapeake,,"1305 Atlantic Ave., 23324                          ",   [(757) 494-9240],,SW1500,12-72,
4588,"Coal Handling Facility, Inc.",,,,Covington,,"   Riverside Ave, Gate 5, 24426              ", [(540) 965-3851],23563,GP9,,
4589,Virginia Pocahontas  –  Gund #1 Mine,(div. Island Creek Coal Co.),,,Dismal Creek    (Vansant),,     (E. of Vansant),,,S2,,
4590,Waste Management – Atlantic Waste Disposal,,"(formerly USA Waste, Inc.)",sanitary landfill,Disputanta  / Waverly,,3474 Atlantic Ln  (off CR 602),,27507,SW1200,9-62,
4591,Waste Management – Atlantic Waste Disposal,,"(formerly USA Waste, Inc.)",sanitary landfill,Disputanta  / Waverly,,3474 Atlantic Ln  (off CR 602),,,NW2,10-49,
4594, International Paper     ,,(formerly Union Camp),fluff pulp mill,Franklin,,"34040 Union Camp Dr., 23851   ", [(804) 569-4623],24058,GP9,6-58,
4595,Virginia Electric Power Co. / Dominion Resources  -  Chesepeake Energy Center,,,,Gilmerton     (Portsmouth),,"1201 Vepco St.     (P.O. Drawer 5, Chester, Va. 23831)     ",,44329,GE 110ton,12-82,
4596,"Keene Carriers, Inc.",,,transload,Glade Springs,,"Old Mill Rd  (CR 750), 24340",(276) 429-2402,29889,GE 25ton,2-49,
4597, AdvanSix,, (formerly Honeywell Corp.),,Hopewell,,"905 E. Randolph Road   (P.O. Box 761, 23860)       ",[(804) 541-5000],13134,SW9,2-51,
4598,Tyson Foods - Feed Mill Crewe,,,,Jetersville / Crewe,,1938  Highway 360   (3 M S/E of. Jetersville / 7 mi. N of Crewe) , [(434) 645-7791],10286,GE 45ton,11-42,
4601,WestRock,,(formerly  Rock-Tenn Co.),(paperboard)   ,Lynchburg,,"1801 Concord Rd., 24504      ",[(804) 847-5521],,Plymouth 25ton ML6,7-38,
4602,WestRock,,(formerly  Rock-Tenn Co.),(paperboard)   ,Lynchburg,,"1801 Concord Rd., 24504      ",[(804) 847-5521],29019,GE 45ton,11-48,
4603,Vulcan Materials -  Manassas Quarry,,,,Manassas,,,,13170,NW2,5-48,
4604,Vulcan Materials -  Manassas Quarry,,,,Manassas,,,,13250,NW2,6-48,
4605,Vulcan Materials -  Manassas Quarry,,,,Manassas,,,,35891,SW1000,,
4606,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,9-85,
4607,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,10-85,
4608,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,4-86,
4609,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,4-86,
4610,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,8-88,
4611,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,8-88,
4612,"Consol Energy, Inc.  -  Buchanan #1 Mine      ",,(formerly Consolidation Coal Co.),,Mavisdale,,"  Rt. 632, 24627    (P.O. Box 230, 24627)  ",  [(540) 498-4564],,Plymouth 15ton DMS-24,8-88,
4613,Clinchfield Coal Co.  -   McClure River #1 Mine,,,,McClure,,,,89865,S2,3-79,
4614,Pittston Co.  -   McClure River #1 Mine,,(formerly Clinchfield Coal),,,,HC 773,,89865,S2,3-79,
4615,Pittston Co.  -   McClure River #1 Mine,,(formerly Clinchfield Coal),,,,HC 773,,10411,SW7m,3-50,
4617,Celanese AG  -  Celco Plant         ,,(formerly Hoechst-Celanese),,Narrows,,"    (E. of..., on N. side of New River, off US 460)   (P.O. Box 1000, 24124)    ",[(703) 921-1111],18960,SW9,11-53,
4620,"Dominion Terminal Associates, LLP",,,,Newport News,,600 Harbor Access Road       , [(804)244-2275],72649,SW1500,5-73,
4621,"Dominion Terminal Associates, LLP",,,,Newport News,,600 Harbor Access Road       , [(804)244-2275],72649,SW1500,5-73,
4623,Kinder Morgan  –  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],30892,GE 50ton,,
4624,Kinder Morgan  –  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],41257,GE 110ton,10-82,
4625,Kinder Morgan  –  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],41258,GE 110ton,10-82,
4626,Kinder Morgan  –  Pier IX Terminal  ,,(formerly Pier IX Terminal Co.), (bulk loading)     ,,,1900 Harbor Access Road     , [(804) 44-8800],41259,GE 110ton,11-82,
4630,Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],41809,GE 45ton,9-62,
4631,Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],34444,GE 45ton,9-62,
4632,Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],41810,GE 45ton,8-63,
4633,Newport News Shipbuilding Corp.,,,,,,"4101 Washington Ave., 23607    ",  [(804) 380-2000],31116,NRE 1GS7B,,
4634,Katoen Natie,,,,Norfolk,,"2424 Springfield Ave., 23523",  (757) 543-9211,35852,SW1500,-71,
4635,"Purdue Farms, Inc.  –  North Elevator            ",,(formerly Cargill),,,,"8801 Hampton Boulevard Norfolk, VA 23514",,15520,SW9,11-51,
4636,Gerdau Petersburg,,(foermly TXI Chapparal Steel),(structural steel mill),,,"25801 Hofheimer Way, 23803  (off 672, ~3 mi S/W of...)",(804) 520-0286,18841,SW9m,10-53,
4637,Gerdau Petersburg,,(foermly TXI Chapparal Steel),(structural steel mill),,,"25801 Hofheimer Way, 23803  (off 672, ~3 mi S/W of...)",(804) 520-0286,27881,SW1200,-63,
4639,Motivation Coal Co.           (subs. Pyxis Resource / Pittston Coal Group),,,,Pittco    (Vicey),,"               (4 mi. E. of Haysi)             (P.O. Box 7, (Dante), 24225)",,89665,S2,1-79,
4640,SimsMetal America,,"Peck Recycling Co., Inc.",,Portsmouth,,,,13186,GE 50ton,8-41,
4641,SimsMetal America,,"Peck Recycling Co., Inc.",,Portsmouth,,,,61296,Whitcomb 50ton,6-54,
4642,Virginia Electric Power Co. / Dominion Resources  –  Possum Point Station,,,,Possum Point / Dumfries,,"19000 Possum Point Rd. (SR 633), Dumfries, 22026  (on Potomac river, across Quantico River from Quantico)",,77473,RS1,3-50,
4643,Appalachian Tank Car,,"(formerly BRS / Buncher Rail Car Service Co., Inc.)",railcar repair,Reusens    (Lynchburg),,"3915 Hydro Street, Lynchburg, 24503      (up S. bank of James River from Lynchburg)",   [(804) 384-6200]  ,30105,GE 50ton,4-48,
4644,Appalachian Tank Car,,"(formerly BRS / Buncher Rail Car Service Co., Inc.)",railcar repair,Reusens    (Lynchburg),,"3915 Hydro Street, Lynchburg, 24503      (up S. bank of James River from Lynchburg)",   [(804) 384-6200]  ,32703,GE 45ton,10-56,
4645,Appalachian Tank Car,,"(formerly BRS / Buncher Rail Car Service Co., Inc.)",railcar repair,Reusens    (Lynchburg),,"3915 Hydro Street, Lynchburg, 24503      (up S. bank of James River from Lynchburg)",   [(804) 384-6200]  ,40748,Whitcomb 20ton 25DM42a,-52,
4647,SimsMetal America,,"(formerly Peck Recycling Co., Inc.)",,,,"3220 Deepwater Terminal Rd., 23234      [(804) 291-3200]",,,Davenport 50ton,2-40,
4648,SimsMetal America,,"(formerly Peck Recycling Co., Inc.)",,,,"3220 Deepwater Terminal Rd., 23234      [(804) 291-3200]",,61296,Whitcomb 50ton,6-54,
4649,SimsMetal America,,"(formerly Peck Recycling Co., Inc.)",,,,"3220 Deepwater Terminal Rd., 23234      [(804) 291-3200]",,31807,GE 65ton EC,12-52,
4650,SimsMetal America,,"(formerly Peck Recycling Co., Inc.)",,,,"3220 Deepwater Terminal Rd., 23234      [(804) 291-3200]",,31807,GE 80ton,12-52,
4653,Mennel Milling Co.,,,,,,"5185 Benois Rd.,(Cave Spring) 24018    ",(540) 776-6201,11227,SW1,1-50,
4654,"Consol Energy, Inc.  –  VP-8 Mine  –  Garden Portal     ",(subs. Island Creek Coal)    ,(formerly Virginia Pocahontas #6 Mine),,Rowe,,"     SR 624,  24646       ",[(540) 498-7765],,Brookville 8ton BCL-8,6-80,
4655,"Consol Energy, Inc.  –  VP-8 Mine  –  Garden Portal     ",(subs. Island Creek Coal)    ,(formerly Virginia Pocahontas #6 Mine),,Rowe,,"     SR 624,  24646       ",[(540) 498-7765],,S2,,
4656,"Consol Energy, Inc.  –  VP-8 Mine  –  Garden Portal     ",(subs. Island Creek Coal)    ,(formerly Virginia Pocahontas #6 Mine),,Rowe,,"     SR 624,  24646       ",[(540) 498-7765],,S2,2-77,
4657,"Koppers Industries, Inc.  –  Roanoke Valley Plant",,,,Salem,,"4020 Koppers Road, 24153   ", [(703) 380-2061],32375,GE 25ton,7-55,
4658,"Koppers Industries, Inc.  –  Roanoke Valley Plant",,,,Salem,,"4020 Koppers Road, 24153   ", [(703) 380-2061],33107,GE 35ton,6-58,
4661,Vulcan Materials  –  Skippers Quarry     ,,(formerly Trego Stone Co.),,Skippers,,1459 Quarry Rd.                      ,  [(804) 634-4158],18509,SW1500,-68,
4663,Stonega Mining & Processing Co.  –  Wentz Mine           ,,(formerly Westmoreland Coal),,Stonega ,,      (~ 4 mi. N. of Appalachia),,,S2,,
4665,"Rapoca Energy Co.  –  Wellmore Mine, Plant #7      ",,(formerly United Coal Co.),,Stric  (Big Rock),,"    (P.O. Box 901, Grundy, Va., 24614)",,89466,S2,,
4666,Dominion Energy  –  Chesterfield Plant,,(formerly Virginia Electric Power Co.),,Wheelwright / Dutch Gap    (Chester)   ,,500 Coxendale Rd.,,44328,GE 110ton,12-82,
4669,Miller Milling Co.,,,,Winchester,,"302 Park Center Dr., 22603      ",[(540) 678-0197],,NW2,10-49,
4670,Virginia Pocahontas  (div. Island Creek Coal Co.)  –  VP-8 Mine  –  Deskins Portal             ,,(formerly #5 Mine),,Koenig  (Deskins),Va. ,"       (on Big Prater Creek, 5 miles S. of Vansant)  (on Ky. 620, just S. of rt 80)",,,Brookville 8ton BCL-TC,4-78,
4671,Virginia Pocahontas  (div. Island Creek Coal Co.)  –  VP-8 Mine  –  Deskins Portal             ,,(formerly #5 Mine),,Koenig  (Deskins),Va. ,"       (on Big Prater Creek, 5 miles S. of Vansant)  (on Ky. 620, just S. of rt 80)",,,S2,,
4672,Virginia Pocahontas  (div. Island Creek Coal Co.)  –  VP-8 Mine  –  Deskins Portal             ,,(formerly #5 Mine),,Koenig  (Deskins),Va. ,"       (on Big Prater Creek, 5 miles S. of Vansant)  (on Ky. 620, just S. of rt 80)",,,S1,3-80,
4674,West Virginia Alloys,,(formerly Elkem Metals Co.),,Alloy,W. V.,"US 60     (P. O. Box 613, 25002)    ",  [(304) 779-3200],,Plymouth 25ton JMD,3-80,
4675,West Virginia Alloys,,(formerly Elkem Metals Co.),,Alloy,W. V.,"US 60     (P. O. Box 613, 25002)    ",  [(304) 779-3200],30388,GE 70ton,4-50,
4676,West Virginia Alloys,,(formerly Elkem Metals Co.),,Alloy,W. V.,"US 60     (P. O. Box 613, 25002)    ",  [(304) 779-3200],31515,GE 95ton,5-52,
4677,West Virginia Alloys,,(formerly Elkem Metals Co.),,Alloy,W. V.,"US 60     (P. O. Box 613, 25002)    ",  [(304) 779-3200],30832,GE 95ton,3-51,
4678,Graftech Advance Graphite Materials,,(formerly Ucar Carbon Co.),,Anmoore  (Clarksburg),,"2698 Philippi Pike, 26323",(304) 624-1200,31835,GE 80ton,4-53,
4679,DuPont   ,,, (industrial chemicals),Belle,,"901 W. Dupont Ave., 25015     ",   [(304) 357-1000],12458,SW9,3-51,
4680,DuPont   ,,, (industrial chemicals),Belle,,"901 W. Dupont Ave., 25015     ",   [(304) 357-1000],20413,SW1200,5-55,
4682,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],69919,S2,9-42,
4683,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],,S2,,
4684,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],25453,GP18,-60,
4685,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],22061,GP9,11-56,
4686,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],20295,GP9,4-55,
4687,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],20799,GP9,11-71,
4688,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],26023,GP18,6-60,
4689,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],72656,GP38-2,3-74,
4691,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],32076,GP40-2W,9-74,
4692,Kanawha River Terminal  –  Ceredo Docks,,(formerly Oglebay Norton Co.),,Ceredo,,"Main & River Sts., 25507      ", [(304) 453-1337],32149,GP40-2W,4-75,
4694,"Highlander Alloys, Inc.     ",,"(formerly American Alloys, Inc.)",,Graham Station  (New Haven),,"                            (P.O. Box 218, 25265)           ",    [(304) 882-2853],13198,GE 65ton,11-41,
4695,"Highlander Alloys, Inc.     ",,"(formerly American Alloys, Inc.)",,Graham Station  (New Haven),,"                            (P.O. Box 218, 25265)           ",    [(304) 882-2853],31542,GE 80ton,4-52,
4696,Monongahela Power Co. / Allegheny Power Systems  –  Harrison Station,,,electric generating,Haywood     (Clarksburg),,"                               (P.O. Box 600, 26336)         ", [(304) 584-2200],83415,RS11,4-59,
4697,Huntington Coal Transportation Corp.     ,,(formerly Arch Minerals),,Huntington,,"1st St. & Ohio River, 25702            [(304) 523-3238]",,15065,GE 45ton,11-41,
4698,Inco Alloys International   ,,(formerly International Nickel),,,,"3200 Riverside Dr., 25705        ", [(304) 526-5100],,Plymouth 15ton DDS,5-76,
4699,Inco Alloys International   ,,(formerly International Nickel),,,,"3200 Riverside Dr., 25705        ", [(304) 526-5100],,Plymouth DDS,1-95,
4700,Inco Alloys International   ,,(formerly International Nickel),,,,"3200 Riverside Dr., 25705        ", [(304) 526-5100],,Plymouth 15ton DMS,-98,
4701,"Steel of West Virginia, Inc.  ",(subs. Steel Dynamics)     ,(formerly Conner Steel),,,,"17th St. & 2nd Ave.,          (PO Box 2547, 257026)      ",  [(304) 696-8200],38904,GE 110ton,1-73,
4702,"Transfer Terminal / Coal Terminals, Inc.",,,,Kenova,,"21st Street & Beech             (P. O. Box 66, 25530)                 ", [(304) 453-3271],11716,SW9,4-52,
4704,Argos Cement,,(formerly Essroc),,Martinsburg,,"S. Queen St. Ext.         (P.O. Box 885, 25401)       ", (304) 260-1800,14135,,,
4705,Carter-Roag Coal Co.  –  Star Bright Plant,,,,Mill Creek / (between Helvetia and Adolph),,"Helvetia-Adolph Rd (SR 46)       (near road, where 46 crosses Left Fork Buckhannon Creek)",  [(304) 636-8320],78420,S4,11-50,
4706,Ohio Power / American Electric Power  –  Mitchell Plant,,,,Moundsville,,"      (south of..., on WV 2)",,39060,GE 144ton,12-75,
4707,Ohio Power / American Electric Power  –  Mitchell Plant,,,,Moundsville,,"      (south of..., on WV 2)",,39061,GE 144ton,2-76,
