company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive number,locomotive model,Manufactured Date(MM/YY),locomotives
North Dakota Soybean Processors,,,,,,"15445 36th St SE, 58012",  (701) 895-1010,NPR 1444; 1412;,; GMD1;,; ;,"  (NPR 1444)  :             Here by 2024)
  1412  :  GMD1             Acq. 2024."
SunPrairie Grain / Cenex Harvest States Cooperatives     ,,(formerly Farmers United Co-Op Elevator),,Bowbells,,  Railroad St.          , [(701) 377-2353],NPR 2286;,GP9;,01/57;,"  (NPR 2286)  :  GP9         (22860, 5514-6, 1-57)  Ex Northern Plains RR #2286, ex Kansas Southwestern #4912, nee GTW #4912.  [acq. c. 2009 ?]"
Al-Corn Clean Fuel,,,ethanol,Claremont,,"797 5th St., 55924",  (507) 681-7100,NPR 2852;,SD45T-2;,;,  (NPR 2852)  :  SD45T-2           Ex UP #2852.
CHS Hallock,,,grain elevator / canola processing,Halloock,,2100 US 75,  (218) 843-7320,NPR 400; GMTX 414;,GP7; ;,; ;,"  (NPR 400)  :  GP7
  (GMTX 414)  :  "
CHS,,"(formerly Cargill, Inc.)",,Langdon,,"123 Fourth Ave., 58249     ",,NPR 4553;,GP9;,;,  (NPR 4553)  :  GP9
CHS Prairie Lakes Cooperative,,,grain elevator,Glenwood,,NE 10th Ave  (off 210th Ave.),(320) 634-3028,NPR 6130;,SD40-2;,;,  (NPR 6130)  :  SD40-2        Acq. c.2021.
Southwest Grain Farmers Marketing,,,,Lemmon,,"                                              (PO Box 239, 57638 )                  ", (605) 374-3301,NREX 100;,SD24m; ,8/59;,"(NREX 100)  : SD24m  (25406, 5602-B19, 8-59)  Ex Ia. Interstate #100, exx NREX #2003, exxx IC #2003, exxxx ICG #2003, nee UP #418B  (SD24B).  Acq. 2001."
[Harrold Grain Co. ?],,,grain elevator,,,,,NREX 118;,GP7;,12/52;,"  (NREX 118)  :    GP7  (17086, 5211-1, 12-52)  Ex West Texas & Lubbock #118, exx Seagraves, Whiteface & Lubbock #118, exxxx MKT #118, nee MKT #1528.  Acq. 2005."
Valero Renewables,, (formerly Versasun Energy),,Aurora ,,476th Ave & 213th St     ,(605) 693-6800,NREX 1295; CEFX 1604; ,MMP15; SW1500; ,12/74; /72;,"  (NREX 1295)  :  MP15  (73625-7, 12-74)  Ex UP #Y 1295, exx UP #1295, nee SP #2696.
  (CEFX 1604)  :  SW1500 (4608-40,   -72)  Ex CEFX #2630, nee SP #2630.  Acq. 2021."
DHL Supply Chain,,(formerly Exel),,Eddyville,,"23 Industrial Park Rd, 42038       ", (270) 388-0831,NREX 1405; GMTX 426;,SW1500; GP15-1;,;;,"(NREX 1405)  :  SW1500           Acq. c.2016.   [gone ?]
(GMTX 426)  :  GP15-1 "
Exel,,,transload warehouse,,,"23 Industrial Park Rd, 42038       ", (270) 388-0831,NREX 1405; GMTX 426;,SW1500; GP15-1;,;;,"(NREX 1405)  :  SW1500           Acq. c.2016.   [gone ?]
(GMTX 426)  :  GP15-1 "
Valero Renewables,,,ethanol,Charles City,,"1787 Quarry Rd., 50616",(641) 715-3000,NREX 1455;,SW9;,7/51;,"(NREX 1455)  :  SW9  (14373, 4093-21, 7-51)  Ex ICG #1455, exx IC #450, nee IC #9450.  Acq. 2017"
"Attebury Grain, Inc.",,(formerly Goodpasture Inc.),,Lubbock,,"2013 N. Ave N      (P. O. Box 5783 , 79408 )          ",    [ (806) 765-7371],NREX 1498; SSRX 640; ;,GP15-1; GP15-1; car mover;,; ; ;,"  NREX 1498  :  GP15-1               Acq. 2017.
  (SSRX 640)  :  GP15-1               Acq. 2022.
    car mover"
CSM Energy Corp.   -  James H. Campbell Plant,,(formerly Consumers Power),,Mountain Beach   (West Olive),,"  (about 10 mi. N/W of Holland, off Lake Shore Ave.)",,NREX 2008; ; ;,genset locomotive; RX500; RX500;,; ; ;," (NREX 2008)  :  genset locomotive                      Acq. 2020.
                         :  RX500
                         :  RX500"
Gavilon Grain LLC,(subs Marubeni),(formerly Debruce Grain),,,,E Channel Rd    (Port of Catoosa),,NREX 2030;,GP20;,07/60;,"NREX 2030  :  GP20  (26047, 5624-3, 7-60)  Ex  Tacoma Rail #2003.  Acq. 2016."
Rail Logix - Ameriport,,,,,,1040 S FM 565,  (281) 573-3847,NREX 205; NREX 2472; 1701; CBFX 3808;,SD38-2; SW1500; ; GP38;,; ; ; ;,"(NREX 205)  :  SD38-2
(NREX 2472)  :  SW1500
    1701  :  ???    Trans. from Alamo Jct. / Elmendorf, Tx.
  (CBFX 3808)  :  GP38          Acq. 2021."
CHS Southwest Grain,,,grain elevator,Taylor,,3645 98th Ave. SW, (701) 483-6212,NREX 2759;,SD45m;,;,  (NREX 2759)  :  SD45m              Ex UP.
Port of Montana,,,,Silver Bow  (Butte),,,,NREX 3641;,GP38;,;," (NREX 3641)  :  GP38  (5747-20)     Ex  UP #1999, exx MKT #343, exxx ICG #9519, nee IC #9519.  Acq. 2003."
Louis Dreyfus Commodities,,(formerly American Milling),barge terminal,,,American Grain St.,(618) 857-7330,NREX 3811;,SD38;,;," (NREX 3811) :  SD38              Ex NRE #3811, exx NS #3811, nee PC #6945.  Acq. 2013."
Savage Terminal,,,,,,3600 Savage Transfer Rd,,NREX 7004; NREX 4272;,; B23-7;,;;,"  (NREX 7004)  :  ???
  (NREX 4272)  :  B23-7"
New Horizon Agricultural Services  –  Herman Elevator,,,,Herman,,                                                  , [(320) 677-2251 ],NREX 7211; NREX 7931;,SD40-2; SD40-2;,06/80; ;,"
  (NREX 7211)  :  SD40-2    (A-3920,  6-80)  Ex BNSF #7211, nee BN #7211.  Acq. by 2011.
  (NREX 7931)  :  SD40-2    Ex FURX 7931, exx BNSF #7931, exxx BN #7931, nee C&S / BN #7931.  Acq. by 2013."
CHS United Plains Ag,,(formerly Wallace County Cooperative Equity Exchange),,Sharon Springs,,"102 N. Front St., 67758              ",  (785) 943-5422,NREX 7264; CHSX 6971;,SD40-2; SD40-2;,3/80; 4/71;,"  (NREX 7264)  :  SD40-2  (786252-29, 3-80)  Ex FURX #7264, exx BNSF #7264, nee BN #7264.
  (CHSX 6971)  :  SD40-2  (A-2495, 4-71)  Ex JLCX #6971, ex BNSF #6971, ex BN #7311, nee CN #5178.  Acq. 2019."
"Cargill, Inc.",,,,Maynard,,"Railroad St.   (P.O. Box 217, 56260)      ", [(320) 367-2338],NREX 7288;,SD40-2;,;,  (NREX 7288)  :  SD40-2           Ex BNSF #7288.
South Central Grain,,,,Sterling,,"30750 5th Ave. NE, 58572               ",   [(701) 387-4506],NREX 7349;,SD40-2;,;,  (NREX 7349)  :  SD40-2    Acq. 3013.
Rail Logix - Alamo Junction,,,,Elmendorf,,,,NREX 8047; CEFX 407; CEFX 408; ,GP9; GP38; GP38; ,5/54; 11/67; 10/67; ,"(NREX 8047)  :  GP9   (19382, 5341-6, 5-54)  Ex Nash County #8047, exx MS Delta RR #8047, exxx IC #8047, nee IC #9047. [gone ?]
  (CEFX 407)  :   GP38 (33362, 7060-45, 11-67)  Ex UP #407, exx #1907, exxx #2063, exxxx CNW #4708, exxxxx CSX #2044, nee B&O #3844.  Acq. 2019.
  (CEFX 408)  :  GP38  (33335, 7060-18, 10-67)  Ex UP #408, exx #1908, exxx #2067, exxxx CNW #4709, exxxxx CSX #2017, nee B&O #3817.  Acq. 2019.
"
Sustainable Land Use LLC,,,,Waldorf,,,,NREX 8090;,GP9;,12/55;,"(NREX 8090)  :  GP9  (20757, 5409-2, 12-55)  Ex Yadkin Valley (G&O) #8090, exx Atlantic & Gulf #809, exxx IC #8090, nee IC #9119.  Acq. 2017."
CHS Cooperatives          ,,(formerly Cenex Harvest States Cooperatives),,Ruthton,,"                                   (P. O. Box 130, 56170)                  [(507) 658-3321]",,NREX 8106;,SD40-2;,;,  (NREX 8106)  :  SD40-2  
Bechtel / Idaho National Laboratory,,,nuclear waste,Scoville,,,,NRF 2000;,GG20B;,;, NRF 2000  :  GG20B           Acq. 2006.
PRS Auto,,,NS auto transload,Walkertown,,,,NS 5343; NS 5649;,GP38-2; GP38-2;,; ;,"  (NS 5343)  :  GP38-2
  (NS 5649)  :  GP38-2"
NS  ,,,auto transload,Walkerstown,,"5601 Old Walkersville Rd., 27051",  (336) 595-1264,NS; NS;,GP38-2; GP38-2;,; ;,"  (NS    )  :  GP38-2
  (NS    )  :  GP38-2"
Equistar Chemical  –  Channelview Complex ,,(formerly  Lyondell Petrochemicals),,,,8280 Sheldon Rd.              ,   [(713) 452-8888],OMLX 1700;,GP9;,?/57,"(OMLX 1700)  :  GP9  (22950, 5516-39,   -57)  Ex OSS #3795, exx New Brunswick Southern #3795, exxx SP 33795, exxxx SP #3609, nee SP #5768."
Holcim,,(formerly Holnam Inc. ),,Portland  (Florence),,"3500 E. Hwy. 120, Florence Co.,81226      (6 mi. E. of Florence)      ",  [(719)784-6325],OMLX 3416; SSRX 118; ;,GP9; GP9; car mover;,2/56; ; ;," (OMLX 3416)  :  GP9  (21334, 5436-16, 2-56)  Ex Great Western Ry - NCO Div. #3416, exx SP #3416, exxx SP #3474, nee SP #5641.
  (SSRX 118)  :  GP9           Ex TMBL #2006, nee Milw # [974 or 975 ?]  Acq. 2017.
     car mover"
Savannah Industrial Transportation,,,,Rincon / Savannah,,McCall Rd.,,OMLX 459; OMLX 517; ,GP9; GP9;,7/55; 3/58;,"  (OMLX 459)  :  GP9  (20464, 5396-12, 7-55)  Ex Winchester & Western #459, exx NS #1459,  exxx N&W #2459, nee NKP #459.  Acq. 2020.
  (OMLX 517)  :  GP9  (24508,  5578-8, 3-58)  Ex Winchester & Western #517, exx N&W #2517, nee NKP #517.  Acq. 2020."
"Carmeuse, Inc.",,,,Maple Grove  (Bettsville),,"1967 W. CR 42, (Bettsville), 44815                           ",  [(419) 986-2000],OMLX; RTEX 4006;,GP9; GP9;,; ?/57;,"  (OMLX       )  :  GP9                            Ex New Brunswick Southern.
  (RTEX 4006)  :  GP9  (A-1245,   -57)  Ex CN #4006, exx CN #4211, nee CN #4593.  Acq. c. 2017."
Steel Dynamics - Southwest - Sinton Div.,,,rolling mill,Sinton,,"8534 SR 89, 78387",(361) 424-6200,OMNX 1; OMNX 2; OMNX 3; OMNX 4;,SW1200; SW1200; SW1200; SW1200;,?/66; ; ; 4/66;,"  (OMNX 1)  :  SW1200  (31685,   -66)  Ex NREX #3, exx United Grain GrowersTerminal #3  (Vancouver, B.C.), nee HB&T #35.  Acq. 2020.
  (OMNX 2)  :  SW1200          Acq. 2021.
  (OMNX 3)  :  SW1200          Acq. 2021.
  (OMNX 4)  :  SW1200  (31219, 7859-4, 4-66)  Ex Brownsville-Rio Grande International #1145, exx Southern Ry of NJ #1145, exxx Shore Fast Line #1145, nee MP #1145.  Acq. c.2021."
Alabama Railcar Services,,(formerly  Frit Car),  (railcar repair)      ,Ozark,,"Jodie Parker Rd., 36360     (off Marley Mill Road) ",  [(334) 774-2621],One;,GE 25ton (IV-B);,2/66;,"    One   :  GE 25ton (IV-B) (35667, 2-66)  Ex Frit Car  (same), exx Evans Tank Car  (same), exxx U. S. Railway Equip. #2  (Blue Island, Il.)"
Carmeuse L.P.,,"(formerly Michigan Limestone Operations, Inc. / Oglebay Norton)",,Port Inland    (Gulliver),,"CR 432,  (Gulliver), 49840              ", [(906) 283-3456],OPT 2030; OPT 2041; TLSX 7523;,SD7m; SD24d; SD45;,; ; 01/69;,"  (OPT 2030)  :  SD7m  (18287)   Ex ICG #2030, nee UP #778.  Acq. 2016.
  (OPT 2041)  :  SD24d                     Acq. 2016.
  (TLSX 7523)  :  SD45  (34363, 7183-14, 1-69)  Ex BUGX #7523, exx SP #7523, nee SP #8995.  Acq. 2019."
"Sterling Chemicals, Inc.",,,,,,"201 Bay St., 77590              ",    [(409) 945-4431],OSS 145; OSS 4288;,SW1000; GP7;,10/66; ?/52;,"  (OSS 145)  :  SW1000  (32180, 4501-6, 10-66)  Nee D&RGW #145.
  (OSS 4288)  :  GP7  (16879, 5206-2,    -52)  Ex Panhandle Northern #4288, exx CNW #4288, nee CNW #1566.
"
"Solvay Polymers, Inc.    ",,,(polyolefin plastics),,,"1230 Battleground Rd.  (P.O. Box 1000, 77536)     ",  [(713) 307-3000],OSS 1472; OSS 4381;,SW9; GP9; ,7/51; 9/54;,"  (OSS 1472)  :  SW9  (14381, 4093-29, 7-51)  Ex IC #1472, exx ICG #1472, exxx IC #458, nee IC #9458.
  (OSS 4381)  :  GP9  (19887, 5362-28, 9-54)  Ex Kansas Southwestern #4381, exx CNW #4381, nee UP #290."
Texas Petrochemicals Corp.,,,,,,"    [8600 Park Place Blvd., 77017 ?]",,OSS 34; WAMX 7027;,GP9; GP7;,6/57; ?/53;,"        (OSS 34)  :  GP9  (23550, 7542-9, 6-57)  Ex  Ashland Ry #34, exx CNW #4560, nee CNW #1733.
(WAMX 7027)  :  GP7  (17017, 5218-A3,   -53)  Ex Eastern Idaho #2191, exx South Kansas & Oklahoma #2191, exxx AT&SF #2191, nee AT&SF #2790.  Acq. 2002."
"Equistar Chemicals, LP  -  La Porte Complex      ",, (formerly  Millenium Chemicals),,Deer Park / La Porte,,"1515 Miller Cut-off Rd.       (E. of Deer Park, N/W of La Porte)              ",[(713) 209-7000],OSS 4433; GMTX 300; GMTX 306;,GP7; MP15AC; MP15AC;,3/53; ; ;,"(OSS 4433)  :  GP7  (18476, 5183-35, 3-53)  Ex Panhandle & Northern #4433, exx CNW #4433, exxx CR #5772, exxxx PC #5772, nee NYC #5772.
[now only uses car movers?]
  (GMTX 300)  :  MP15AC            Ex Kennecott Copper Co.  Acq. 2020.
  (GMTX 306)  :  MP15AC            Ex POM  Acq. 2020."
Ash Grove Cement,,,,Chanute,,                 (office: N. Santa Fe St.  66720)   ,  [(316) 431-4500],P01SE; P03SE; P04SE; ;,GE 110ton; GE110ton; GE110ton; car mover;,1/80; 8/79; 5/81; ;,"P01SE  :  GE 110ton  (41151, 1-80)  Ex Imerys #8008  (Gantt's Quarry, Al.), exxInt. Paper #16  (Erie, Pa.), nee Hammermill Paper #16  (same).  Acq. 2017.
P03SE   :  GE 110ton (V)  (41136, 8-79)  Nee Wisconsin Electric  (Pleasant Prairie Plant, Kenosha, Wi.)  Acq. 2002.
P04SE  :  GE 110ton (V)  (41186, 5-81)  Nee Mobil Oil C. #117  (Beaumont, Tx.)  Acq. 2007
    car mover"
Monarch Cement Co.,,,,Humboldt,,"      (P.O. Box 1000, 66748)     ", [(316) 473-2222],P226; ;,GE 45ton; car mover;,5/41; ;,"  P226  :  GE 45ton  (II-A1, 50t)  (13010, 5-41)  Acq. new. [gone ?]
      [car mover ?]"
"Pak Technologies, Inc.",,,salt rail-to-truck terminal,,,"3620 N 35th St., 53216",(414) 371-3100,PAKX 707;,GP15-1;,3/82;,"  PAKX 707 :  GP15-1  (81735-3, 3-82)  Ex UP #707, ex UP #1707, nee MP #1707.   Acq. 2022. "
Rocky Mountain Rail Park,,,,Bennett,,,,Patriot Rail 1010;,GP39-2;,;,  (Patriot Rail 1010)  :  GP39-2         Nee Kennecott Copper.  Acq. 2023.
Golden Triangle Polymers,(j/v ChevronPhillips & QatarEnergy),,,,,,,PCS 1502;,MP15;,;,  (PCS 1502)  :  MP15         Acq. 2024.
Carolina Scrap Processors,,,,Anderson,S.C.,"428 North Gossett St., 29621                        ",   [(864) 225-8731],Pickens 6; ,S2 (r/p);,;,(Pickens 6)  :  S2(r/p)
Andersons (The)       ,,,(grain),,,"3324 County Rd. 300 S, 46947    ", [(219) 722-2626],Pioneer Railcorp 905;,GP9;,2/51;,"(Pioneer Railcorp 905)  :  GP9   (11241, 5032-4, 2-51)  Ex Decatur Jct. #702, exx Northern Mo #2348, exxx SBD #2348, exxxx L&N #2348, exxxxx L&N #459, exxxxxx L&N #1722, nee NC&StL #722."
"Lange Stegmann Co., Inc     ",,,(fertilizer & bulk storage),,,"1 Angelica St., 63147",,Prairie Line #2002; Prairie Line #2003;,GP9; GP9;,08/55; 11/56;,"  (Prairie Line #2002)  :  GP9  (A-783, 8-55)  Ex JLCX, exxx CP #1559, nee CP #8540.  Acq. 2018.
  (Prairie Line #2003)  :  GP9  (21903, 11-56)  Ex Ga Northeastern #7562, exxx CR #7562, exxxx PC #7098, nee PRR #7098.  Acq. 2018."
Crysalis Bioscience,,,,Sauget,,,,Prairie Line / TPLX 1004;,SW1500;,;,  (Prairie Line / TPLX 1004)  :  SW1500       Acq. 2024.
COFCO International,,(formerly COFCO - Growmark LLC),grain barge loading,Cahokia,,195 American Grain St., (314) 627-6840,Prairie Line / TPLX 6576; 2543; ,GP9; CF7;,/58; ;,"  (Prairie Line / TPLX 6576)  :  GP9  (24360, 5568-5,   58)  Ex Georgia Northeastern RR #6576, nee B&O #6576.  Acq. 2020.
  2543  :  CF7     Ex Consolidated Grain & Barge  (Cahokia, Il.), exx Indiana RR #2543."
SCF / Lewis Clark (a.k.a Bulk Tyler),(subs. Seabor),,unit-train unloader,St Louis,,Tyler St  (foot of...),,Prairie Line 2001;,GP9;,;,"  (Prairie Line 2001)  :  GP9          Ex JLCX, exx CP.  Trans. 2018."
SCF / Lewis Clark   (a.k.a Bulk East),(subs. Seabor),,unit-train unloader,,,Rock Rd.,,Prairie Line 3001; 1231;,SD40-2; GP15-1;,;;,"  (Prairie Line 3001)  :  SD40-2       Ex CP, nee Soo.  Acq. 2018.
  1231:  GP15-1         Ex UP #Y 739.  Acq. 2023."
Waste Management,,, (solid waste transfer),Bronx,,     (near Willis Ave. Bridge),,PREX 103; ;,NW2; car mover;,09/49; ;,"(PREX 103)  :  NW2 (7196, E-1034-12, 9-49)  Nee Indiana Harbor Belt #8785.  Acq. 2001. [gone ?]
     car mover"
Andersons Ethanol,,,,Clymers,,,,PREX 905;,GP9;,;,(PREX 905)  :  GP9
Marathon Petroleum,,(formerly Andeaver / previously Tesoro / previously Western Refining / previously Northern Tier / previoulsy Marathon oil),petroleum refinery,St Paul Park,,"301 St Paul Park Rd., 55071",,PRLX #2115; CEFX 2575;,SW1001; SW1500;,; ?/70;,"  (PRLX #2115)  :  SW1001  (73623-15,         )  Ex NS #2105, exx CR #2615, nee Rdg #2615.  Acq. 2022.
  (CEFX 2575)  :  SW1500  (35811, 4570-23,   -70)  Nee SP #2575."
Source Energy Services,,,,,,,,PRLX #2204;,[SW1500 ?];,;,PRLX #2204  :  [SW1500 ?]
Great Plains Industrial Park,,,industrial park / car storage,Parsons,,23050 Scott Rd. (on former Ks. Army Ammunition Plant site)  (S/W of Parsons),(620) 421-1228,PRLX 1213;,SW1200;,10/54;,"  (PRLX 1213)  :  SW1200  (20065, 4286-11, 10-54)  Ex DJPX #1213, exx Soo #1213, exxx Milw #708(2nd), exxxx Milw #635, nee Milw #2030(1st). "
Vulcan Materials,,,,Lehigh / Limestone  (Kankakee),,"1277 S 7000 W  Road, Kankakee, 60901    (~5 mi. W. of Kankakee)      ",[(815) 937-7911],PRLX 1220;,MP15T;,3/85;,"(PRLX 1220)  :  MP15T  (847037-6, 3-85)  Ex CSX #1220, nee SBD #1220.  Acq. 2011."
Howard Energy - Maverick Terminal / SGS Petroleum Service Corp.,,,,,,Navigation Blvd.  (@ former port RR / CCPN yard office),,PRLX 1230;,SW1200;,6/64;,"(PRLX 1230)  :  SW1200  (29443, 7740-4, 6-64)  Nee TRRA #1230.  Acq. c. 2018."
"Husky Energy, Inc.  –  Lima Refinery ",, (formerly Valero),,,,"1150 S. Metcalf St., 45804                     ",,PRLX 1505; PRLX 1513;,SW1500; SW1500;,?/68; 04/71;,"  (PRLX 1505)  :  SW1500  (34486, 7139-13,   -68)  Ex Foster Townsend Rail Logistics #258, ex Manufacturers Ry #258, ex Norfolk & Portsmouth Belt Line #2312, ex NS #2312, nee SR #2312.  Acq. 2023.
  (PRLX 1513)  :  SW1500  (36856, 7285-2, 4-71)  Nee Alton & Southern #1513.  Acq. 2023."
Cenovus / Superior Refining Co.,,,refinery,Superior,,"2407 Stinson Ave., 54880",  (403) 298-6111,PRLX 1506-2nd; GMTX 413;,SW1500; GP15;,11/67; ;,"   (PRLX 1506-2nd)  :  SW1500 (33542, 11-67)  Ex Foster Townsend Rail Logistics / FTRL #255, ex Manufactures Ry #255, ex CR #9603, ex Indianapolis Union #25, nee EMD #108.
   (GMTX 413)  :  GP15           Nee CR #1690."
Solaris Oilfield Infrastructure,,,drilling sand transload,,,,,PRLX 1516;,SW1500;,;,  (PRLX 1516) :  SW1500           Ex Alton & Southern.
Progress Rail,,,locomotive shop,Muncie,,"3500 S Cowan Rd., 47302",,PRLX 2200;,SW1500;,2/71;," (PRLX 2200)  :  SW1500  (35061, 7292-4, 2-71)  Ex NX #2200, exx CR #9503, nee PC #9503."
PBF Energy,,(formerly Exxon),,Paulsboro,,,,PRLX 2393; PRLX 2371; PRLX;,MP15; MP15; MP15;,; ; ;,"  (PRLX 2393)  :  MP15         Acq. 2020.
  (PRLX 2371)  :  MP15       Acq. 2020.
  (PRLX         )  :  MP15"
CalPortland,,(formerly TXI),,Oro Grande,,"19409 National Trails Hwy., 92368",,PRLX 3000; PRLX 3006; HRSX 3008; PRLX 3878; EMDX 7101; ,GP40; GP40; ; GP38; GP22ECO;,; ; ; ; 11/68;,"  (PRLX 3000)  :   GP40          Ex Wi Sou.
  (PRLX 3006)  :   GP40          Ex Wi Sou.  
  (HRSX 3008)  :                          Acq. 2018.
  (PRLX 3878)  :  GP38                Acq. 2019.
  (EMDX 7101)  :  GP22ECO (r/p GP40)  (7145-4, 11-68)   Fromerly at Railtex  (Delano, Ca.).  Acq. 2021."
Solvay Minerals Inc.      ,,(formerly Tenneco Minerals),,,,"1 Westvaco Road    (~20 miles W. of...)    (P.O. Box 1167,  82935)    ",[(307) 875-6500],PRLX 3234; PRLX 3480; PRLX 3527; PRLX 3578;,SD40-2; SD40-2; SD40-2; SD40-2;,;;;;,"  (PRLX 3234)  :  SD40-2              Ex NS #3234.  Acq 2021.
  (PRLX 3480)  :  SD40-2              Ex NS #3480.  Acq 2021.
  (PRLX 3527)  :  SD40-2              Ex NS #3527.  Acq 2021.
  (PRLX 3578)  :  SD40-2              Ex NS #3578.  Acq 2021."
Junction City Mining Co.  –  Heath Quarry,,,,Junction City / Talbotton,,"2158 Packinghouse Rd       (between Junction City & Talbotton, off US 90)   (P.O. Box 616, 31827)",(7076) 665-2764,PRLX 326; NREX 2723; 3003;,SD40-2; SD40-2; SD40;,; ; 4/66;,"  (PRLX 326)   :  SD40-2
  (NREX 2723)  :  SD40-2
  3003  :  SD40  (31539, 7861-49, 4-66)  Ex TRRA #3003, exx SP #7365, nee SP #8458.  Acq. 2021."
Shelly Materials / Stoneco,,"(formerly Wyandot Dolomite, Inc.)",,,,"1794 County Rd. 99,   43316 ",   [(419) 396-7641],PRLX 3604;,SW1000;,12/72;," (PRLX 3604)  :  SW1000 (4610-5, 12-72)  Ex BNSF #3604, nee BN #379.  Acq. 2015."
Case Farms,,,,Shelby,,"1524 Airport Rd., 28150",(704) 487-6099,PRLX 4300;,PR43X;,;,(PRLX 4300)  :  PR43C      Acq 2018.
"Conrad Yelvington Distributors, Inc. ",,,(aggregates),Tampa ,,"4800 Cone Rd., 33610   ",(813) 621-0074,PRLX 5051;,GP38-2;,;,(PRLX 5051)  :  GP38-2            Ex NS #5061.  Acq. 2017.
River Metals Recycling,(subs. DJJ / David J Joseph Co.),(formerly CRHS  Mansbach Metal Co. ),,Ashland,Ky.,"1900 Front St.             ( P.O. Box 1179, 41105)         ",  [(606) 329-9600],PRLX 61; PRLX 2337;,SW900; SW1500;,;;,"(PRLX 61)  :  SW900                    [Ex Mansbach Metal  #861  (same) ?]
(PRLX 2337)  :  SW1500
"
Martin Marietta Materials  -  Junction City Quarry    ,,,(aggregates),Junction City,,                    ,  [(706) 269-3849],PRLX 6674;,SD60;,;,  (PRLX 6674)  :  SD60           Ex NS.
"Transload Service, LLC",,,,Marshallton,,,,PRLX 7268; PRLX 7274; PRLX 7279;,; ; ;,; ; ;,"  (PRLX 7268)  :          Acq. 2024.
  (PRLX 7274)  :          Acq. 2024.
  (PRLX 7279)  :          Acq. 2024."
Texas Materials - Marble Falls Quarry,,,,Sudduth,,"8147 US 281, Burnet, Tx  78611",  (512) 861-7100,PRLX?;,;,;,  (PRLX      )  :  ??
Ineos,,,,,,"1230 Independence Pkwy., 77571",(713) 307-3000,PSGX 1216; ;,SW1200; car mover;,6/64; ;," (PSGX 1216)  :  SW1200  (29242, 4463-4, 6-64)  Ex RLIX #1216, exx Mid-Michigan #1216, ex #73, ex Michigan Shore #73, nee KCT #73.
      car mover"
Chevron Phillips Chemical Company LP – Houston Chemical Complex     ,,(formerly Phillips Chemical),,,,"1400 Jefferon R, 77507           (head office:  (713) 475-3666 )",  (713) 475-3666    ,PSPX 149; GATX 150; GMTX 2181; LSOX 1501; ;,SW1500; SW1500; GP38-2; SE15B; car movers;,3/70; 11/72; 8/72; ; ;,"(PSPX 149)  :  SW1500  (36137, 4582-3, 3-70)  Ex NS #2345, nee SR #2345.
(GATX 150)  :  SW1500  (7233-1, 11-72)  Ex Amtrak #1120, exx CSX #1120, exxx SBD #5020, nee L&N #5020.
(GMTX 2181)  :  GP38-2  (7354-64, 8-72)  Ex LLPX #2321, exx UP #442, exxx UP #1942, exxxx CR #8003, nee PC #8003.      
(LSOX 1501)  :  SE15B         Acq. 2017.
also uses car movers"
Toyota Motor Manufacturing,,,,Blue Springs,,"1200 Magnolia Way, 38828",(662) 317-3000,R.J. Corman 1411; 1737;,RP20BD; GP9;,; 11/55;,"(R.J. Corman 1411)  :  RP20BD
(R.J. Corman)  :  1737)  : GP9  (21075, 11-55)  Ex CSX #1737, exx SCL #4637, exxx SCL #1006, nee SAL #1906."
Logan Aluminum,,,,Russellville,,"6920 Lewisburg Rd., 42276",(270) 755-6000,R.J. Corman 9006;,GP9;,/57;,"(R.J. Corman  9006)  :  GP9  (22995, 5519-11,   -57)  Nee B&O #6521."
Novelis,,,aluminum recycling,Berea,,"302 Mayde Rd, 40403",(859) 986-2347,R.J. Corman; ,GP7/9;,;,(R.J. Corman      )  :  GP7/9
Catlettsburg Refining / Marathon Oil Co.,,,refinery,Catlettsburg,Ky,"11631 Old US 23, 41129",(606) 739-4186,R.J. Corman; R.J. Corman;,GP38; GP38;,;;,"(R.J. Corman                     )  :  GP38
(R.J. Corman                     )  :  GP38"
Riceland Foods,,,rice mill,,,404 S. Grand St.       , [(870) 673-5569],Rail Link 137; ;,SW7; SW?;,;;,"  (Rail Link 137)  :  SW7
                           :  SW?"
International Paper,,(formerly Weyerhaeuser - Flint River Operations),,Oglethorpe,,"Stagecoach Road,  31068   ", [(912) 472-2527],Rail-Link 336;,SW1500;,/72;,"(Rail-Link 336)  :  SW1500  (7355-27,   -72)  Ex CR #9536, nee PC #9536."
Suncoke Energy Middletown,,,,,,"3351 Yankee Rd., 45044",(513) 727-5500,RASX 1005;,GP7;,06/50;,"  (RASX 1005)  :  GP7  (w/ GP9 carbody features)  (10736,  6038-1, 6-50)  Ex RSSX #1005., ex Midsouth Rail #1005, ex IC #8029, ex SSW #304, nee SSW #320."
Memphis Air Park East,,,,,,,,RC Corman 9007; RJ Corman 9008; ,GP9; GP9; ,/57; ,"(RJ Corman 9007)  :  GP9                    Nee B&O.
(RJ Corman 9008)  :  GP9  (     -57)   Nee B&O."
Katoen Natie Midwest,,,bulk transloading),,,700 Chase St.            ,      [(219) 949-2620],RCLX 1617;,GP9;,3/54;,"(RLCX 1617)  :  GP9  (19182, 5321-A52, 3-54)  Ex CNW #4397, nee UP #181.  Acq. 1999."
